16-06-18_17-41-03-625 | 
SS =    150 | FJLT:      0 | d =     32 | k =     32 | er =  0.450 | TP =   5 | accuracy =   80.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      2 | er =  0.450 | TP =   5 | accuracy =   78.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      3 | er =  0.450 | TP =   5 | accuracy =   84.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      4 | er =  0.450 | TP =   5 | accuracy =   88.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      5 | er =  0.450 | TP =   5 | accuracy =   86.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      6 | er =  0.450 | TP =   5 | accuracy =   90.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      7 | er =  0.450 | TP =   5 | accuracy =   92.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      8 | er =  0.450 | TP =   5 | accuracy =   90.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      9 | er =  0.450 | TP =   5 | accuracy =   84.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =     10 | er =  0.450 | TP =   5 | accuracy =   92.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      2 | er =  0.450 | TP =   5 | accuracy =   86.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      3 | er =  0.450 | TP =   5 | accuracy =   86.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      4 | er =  0.450 | TP =   5 | accuracy =   84.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      5 | er =  0.450 | TP =   5 | accuracy =   88.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      6 | er =  0.450 | TP =   5 | accuracy =   86.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      7 | er =  0.450 | TP =   5 | accuracy =   90.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      8 | er =  0.450 | TP =   5 | accuracy =   90.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      9 | er =  0.450 | TP =   5 | accuracy =   86.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =     10 | er =  0.450 | TP =   5 | accuracy =   86.0 | 
16-06-18_17-41-21-368 | 
SS =    150 | FJLT:      0 | d =     32 | k =     32 | er =  0.450 | TP =   5 | accuracy =  100.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      2 | er =  0.450 | TP =   5 | accuracy =   80.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      3 | er =  0.450 | TP =   5 | accuracy =   90.0 | 
